,city,latitude,longitude,temperature,max temperature,wind speed,cloudiness,humidity
0,Albany,42.6001,-73.9662,285.88,287.67,1.69,0,89
1,Mataura,-46.1927,168.8643,282.3,282.3,0.74,22,87
2,Chokurdakh,70.6333,147.9167,287.52,287.52,4.46,26,30
3,Khatanga,71.9667,102.5,299.4,299.4,6.42,100,39
4,Ambanja,-13.6833,48.45,293.11,293.11,0.99,3,78
5,Onega,63.9061,38.1404,288.22,288.22,7.53,100,95
7,Nome,64.5011,-165.4064,290.19,290.19,5.14,90,78
8,Te Anau,-45.4167,167.7167,279.78,279.78,1.21,69,81
9,Shenjiamen,29.9576,122.298,300.53,300.53,6.59,100,89
10,Saldanha,-33.0117,17.9442,280.18,280.18,0.97,0,64
12,Torbay,47.6666,-52.7314,286.94,287.46,9.26,90,96
13,Tasiilaq,65.6145,-37.6368,281.24,281.24,0.72,99,81
14,Luena,-11.7833,19.9167,282.91,282.91,1.38,2,59
15,Ternate,0.8,127.4,301.87,301.87,4.59,26,73
16,Sovetskiy,61.3614,63.5842,294.52,294.52,2.03,45,56
17,Busselton,-33.65,115.3333,287.06,287.09,2.68,99,71
18,Jalu,29.0331,21.5482,302.03,302.03,2.92,0,28
19,Ponta do Sol,32.6667,-17.1,294.56,295.38,2.83,38,73
20,George Town,5.4112,100.3354,304.96,305.12,2.24,40,59
21,Thinadhoo,0.5333,72.9333,301.19,301.19,3.2,98,72
22,Rikitea,-23.1203,-134.9692,294.1,294.1,8.6,68,55
23,Saskylakh,71.9167,114.0833,296.82,296.82,4.19,35,33
24,Bathsheba,13.2167,-59.5167,299.49,299.49,4.63,20,83
25,Vao,-22.6667,167.4833,292.8,292.8,4.03,1,69
26,Ushuaia,-54.8,-68.3,275.96,275.96,11.32,75,87
27,Bredasdorp,-34.5322,20.0403,283.77,283.77,3.09,4,93
29,Plyussa,58.4308,29.3654,287.38,287.38,4.58,82,89
30,Bluff,-46.6,168.3333,282.48,282.48,2.48,32,64
31,Nanortalik,60.1432,-45.2371,279.53,279.53,2.46,100,98
32,Voyvozh,62.892,54.9635,291.86,291.86,1.97,87,77
33,Chongwe,-15.3292,28.682,285.79,285.79,3.07,0,53
34,Arraial do Cabo,-22.9661,-42.0278,291.07,291.07,4.63,0,88
35,Galesong,-5.3166,119.3661,305.16,305.16,2.52,8,62
37,Ngunguru,-35.6167,174.5,286.57,286.57,10.12,28,73
38,Bambous Virieux,-20.3428,57.7575,289.29,296.6,2.57,20,88
39,Togur,58.3631,82.8265,289.72,289.72,0.93,100,74
40,Cape Town,-33.9258,18.4232,280.38,287.66,1.54,0,100
41,Qaanaaq,77.484,-69.3632,279.27,279.27,2.16,91,72
42,Hobart,-42.8794,147.3294,285.5,286.05,3.09,75,66
43,Iqaluit,63.7506,-68.5145,279.65,280,2.24,90,100
45,Vila,42.0304,-8.1588,281.87,285,1.86,91,91
46,Nouadhibou,20.931,-17.0347,293.14,293.14,3.09,0,88
47,Genhe,50.7833,121.5167,299.33,299.33,2.13,82,39
48,Tuktoyaktuk,69.4541,-133.0374,280.15,280.15,6.69,90,93
49,Mount Gambier,-37.8333,140.7667,284.1,284.1,8.23,75,71
50,Geraldton,-28.7667,114.6,290.38,290.44,6.17,0,63
51,Jamestown,42.097,-79.2353,285.55,288.55,0.45,1,92
52,Beringovskiy,63.05,179.3167,281.22,281.22,6.37,100,94
53,Cherskiy,68.75,161.3,281.37,281.37,9.81,96,57
54,Hilo,19.7297,-155.09,295.67,296.62,3.38,46,90
55,Severo-Kuril'sk,50.6789,156.125,285.74,285.74,4.96,69,75
56,Ürümqi,43.801,87.6005,300.68,300.68,3,0,18
57,Vaini,-21.2,-175.2,296.24,296.24,5.14,40,73
59,Butaritari,3.0707,172.7902,300.52,300.52,1.96,40,75
60,Esmeraldas,-19.7625,-44.3139,287.63,288.32,1.74,58,62
61,Dikson,73.5069,80.5464,284.07,284.07,3.81,100,80
62,Cockburn Town,21.4612,-71.1419,300.83,300.83,8.7,85,77
63,Changji,44.0167,87.3167,302.59,302.59,3,0,18
64,New Norfolk,-42.7826,147.0587,285.13,285.86,0.28,99,64
65,Narsaq,60.9167,-46.05,281.27,281.27,1.23,100,96
66,Hermanus,-34.4187,19.2345,287.54,287.54,1.72,0,67
67,Punta Arenas,-53.15,-70.9167,276.21,276.21,11.32,0,81
68,Emba,48.8264,58.1442,306.52,306.52,2.17,35,21
69,Qaqortoq,60.7167,-46.0333,281.43,281.43,1.38,100,96
70,Saint-François,46.4154,3.9054,287.81,288.25,1.54,90,93
71,Port Alfred,-33.5906,26.891,285.47,285.47,4.46,0,81
