,city,latitude,longitude,temperature,max temperature,wind speed,cloudiness,humidity
0,Albany,42.6001,-73.9662,54.36,57.92,3.78,0,91
1,Mataura,-46.1927,168.8643,39.06,39.06,0.36,20,94
2,Chokurdakh,70.6333,147.9167,58.21,58.21,9.66,24,30
3,Khatanga,71.9667,102.5,80.65,80.65,13.15,100,37
4,Ambanja,-13.6833,48.45,77.29,77.29,1.68,3,65
5,Onega,63.9061,38.1404,60.78,60.78,16.64,100,95
7,Nome,64.5011,-165.4064,60.87,60.87,10.36,90,82
8,Te Anau,-45.4167,167.7167,40.17,40.17,3.06,65,87
9,Shenjiamen,29.9576,122.298,81.14,81.14,14.45,100,90
10,Saldanha,-33.0117,17.9442,42.85,42.85,5.75,0,66
12,Torbay,47.6666,-52.7314,56.43,58.28,23.02,90,94
13,Tasiilaq,65.6145,-37.6368,44.76,44.76,1.92,99,80
14,Luena,-11.7833,19.9167,56.08,56.08,3.22,2,48
15,Ternate,0.8,127.4,83.55,83.55,10.11,26,74
16,Sovetskiy,61.3614,63.5842,73.18,73.18,4.74,38,50
17,Busselton,-33.65,115.3333,58.05,58.08,7.45,97,68
18,Jalu,29.0331,21.5482,87.78,87.78,7.54,0,25
19,Ponta do Sol,32.6667,-17.1,69.6,72.01,5.99,35,72
20,George Town,5.4112,100.3354,89.55,89.55,8.05,40,62
21,Thinadhoo,0.5333,72.9333,82.71,82.71,8.1,98,72
22,Rikitea,-23.1203,-134.9692,69.58,69.58,19.3,73,55
23,Saskylakh,71.9167,114.0833,75.24,75.24,9.44,43,32
24,Bathsheba,13.2167,-59.5167,79.41,79.41,10.36,20,83
25,Vao,-22.6667,167.4833,67.53,67.53,9.31,1,70
26,Ushuaia,-54.8,-68.3,35.26,35.26,20.71,75,93
27,Bredasdorp,-34.5322,20.0403,49.32,49.32,6.91,3,93
29,Plyussa,58.4308,29.3654,59.86,59.86,11.61,71,80
30,Bluff,-46.6,168.3333,46.62,46.62,3.71,29,66
31,Nanortalik,60.1432,-45.2371,43.56,43.56,5.97,100,98
32,Voyvozh,62.892,54.9635,69.15,69.15,4.72,89,64
33,Chongwe,-15.3292,28.682,61.61,61.61,11.05,0,46
34,Arraial do Cabo,-22.9661,-42.0278,65.98,65.98,13.22,3,85
35,Galesong,-5.3166,119.3661,87.82,87.82,8.48,22,64
37,Ngunguru,-35.6167,174.5,55.17,55.17,19.89,23,75
38,Bambous Virieux,-20.3428,57.7575,70.05,72.21,11.5,20,73
39,Togur,58.3631,82.8265,63.73,63.73,2.01,100,69
40,Cape Town,-33.9258,18.4232,48.61,56.12,1.14,0,93
41,Qaanaaq,77.484,-69.3632,42.93,42.93,4.61,93,73
42,Hobart,-42.8794,147.3294,53.19,54.23,5.75,75,69
43,Iqaluit,63.7506,-68.5145,43.7,44.33,5.01,90,93
45,Vila,42.0304,-8.1588,47.64,52.34,3.65,77,92
46,Nouadhibou,20.931,-17.0347,69.55,69.55,10.69,96,86
47,Genhe,50.7833,121.5167,79.41,79.41,5.39,85,39
48,Tuktoyaktuk,69.4541,-133.0374,44.6,44.6,13.8,75,87
49,Mount Gambier,-37.8333,140.7667,51.71,51.71,20.71,40,58
50,Geraldton,-28.7667,114.6,63.01,65.12,12.66,0,59
51,Jamestown,42.097,-79.2353,53.65,58.71,2.24,1,93
52,Beringovskiy,63.05,179.3167,46.71,46.71,14.34,100,94
53,Cherskiy,68.75,161.3,45.97,45.97,22.5,84,60
54,Hilo,19.7297,-155.09,72.81,74.93,4.61,90,86
55,Severo-Kuril'sk,50.6789,156.125,54.21,54.21,11.07,62,76
56,Ürümqi,43.801,87.6005,81.55,81.55,6.71,0,18
57,Vaini,-21.2,-175.2,71.76,71.76,9.22,40,73
59,Butaritari,3.0707,172.7902,81.88,81.88,3.83,38,72
60,Esmeraldas,-19.7625,-44.3139,58.06,59.31,3.94,57,68
61,Dikson,73.5069,80.5464,51.55,51.55,8.41,100,80
62,Cockburn Town,21.4612,-71.1419,81.84,81.84,19.22,79,77
63,Changji,44.0167,87.3167,84.99,84.99,6.71,0,18
64,New Norfolk,-42.7826,147.0587,53.15,53.89,0.56,99,66
65,Narsaq,60.9167,-46.05,46.62,46.62,1.81,100,96
66,Hermanus,-34.4187,19.2345,55.9,55.9,3.53,0,65
67,Punta Arenas,-53.15,-70.9167,37.51,37.51,26.46,0,81
68,Emba,48.8264,58.1442,94.35,94.35,6.13,30,20
69,Qaqortoq,60.7167,-46.0333,46.9,46.9,2.06,100,97
70,Saint-François,46.4154,3.9054,58.77,59.68,1.14,75,95
71,Port Alfred,-33.5906,26.891,56.12,56.12,9.24,0,74
72,Labuhan,-6.8844,112.2051,85.17,85.17,9.55,22,64
73,Nikolskoye,59.7035,30.7861,61.63,62.49,12.35,80,85
76,Lorengau,-2.0226,147.2712,84.6,84.6,9.6,40,71
77,Turangi,-39,175.9333,46.44,46.44,4.29,97,97
79,Atuona,-9.8,-139.0333,77.79,77.79,18.12,12,73
80,Ilulissat,69.2167,-51.1,42.82,42.82,3.44,90,87
81,Changqing,36.5575,116.7272,88.81,88.81,4.54,28,52
82,Bengkulu,-3.8004,102.2655,83.8,83.8,8.37,65,70
83,Henties Bay,-22.116,14.2845,59.86,59.86,6.11,0,77
84,Souillac,-20.5167,57.5167,70.18,72.36,11.5,20,73
85,Vila Velha,-20.3297,-40.2925,57.15,57.15,2.3,0,100
86,Bayjī,34.9311,43.487,100.17,100.17,13.96,52,20
87,Qui Nhon,13.7667,109.2333,91.6,91.6,20.2,100,53
88,Praia da Vitória,38.7333,-27.0667,71.85,71.85,5.19,75,94
89,Kitaibaraki,36.7833,140.75,88.32,93.9,13.82,83,72
90,Jambi City,-1.6,103.6167,91.11,91.11,3.2,80,52
91,Saint-Philippe,-21.3585,55.7679,70.88,72.95,3,0,59
92,Saint-Augustin,51.226,-58.6502,56.5,56.5,9.51,100,95
93,Caravelas,-17.7125,-39.2481,65.34,65.34,3.91,19,82
94,Mercedes,-34.6515,-59.4307,42.64,46.83,7.83,0,82
95,Saint Anthony,45.0205,-93.218,65.75,69.82,4.61,1,69
96,Soe,-9.8607,124.284,84.16,84.16,11.03,66,30
97,Christchurch,-43.5333,172.6333,47.01,48,7,75,71
98,Camocim,-2.9022,-40.8411,72.61,72.61,1.9,17,85
99,Yangambi,0.8102,24.4336,76.3,76.3,2.53,91,73
101,Kaeo,-35.1,173.7833,55.33,55.33,17.07,36,82
102,Puerto Ayora,-0.7393,-90.3518,70.41,70.41,8.9,68,90
104,Mar del Plata,-38.0023,-57.5575,47.19,47.88,3,2,53
105,Kholm,59.2667,32.85,60.91,60.91,13.18,91,82
106,Olinda,-8.0089,-34.8553,71.33,71.33,5.75,75,94
107,East London,-33.0153,27.9116,54.54,54.54,4.61,0,87
